wins,losses,win-loss,games_behind,ps/g,pa/g,srs,team,season_start,season_end
49,33,.598,—,104.0,100.9,2.45,Toronto Raptors,2014,2015
40,42,.488,9.0,101.4,101.2,-0.40,Boston Celtics,2014,2015
38,44,.463,11.0,98.0,100.9,-3.13,Brooklyn Nets,2014,2015
18,64,.220,31.0,92.0,101.0,-9.04,Philadelphia 76ers,2014,2015
17,65,.207,32.0,91.9,101.2,-9.50,New York Knicks,2014,2015
53,29,.646,—,103.1,98.7,4.08,Cleveland Cavaliers,2014,2015
50,32,.610,3.0,100.8,97.8,2.54,Chicago Bulls,2014,2015
41,41,.500,12.0,97.8,97.4,-0.09,Milwaukee Bucks,2014,2015
38,44,.463,15.0,97.3,97.0,-0.23,Indiana Pacers,2014,2015
32,50,.390,21.0,98.5,99.5,-1.39,Detroit Pistons,2014,2015
60,22,.732,—,102.5,97.1,4.75,Atlanta Hawks,2014,2015
46,36,.561,14.0,98.5,97.8,0.17,Washington Wizards,2014,2015
37,45,.451,23.0,94.7,97.3,-2.92,Miami Heat,2014,2015
33,49,.402,27.0,94.2,97.3,-3.44,Charlotte Hornets,2014,2015
25,57,.305,35.0,95.7,101.4,-5.87,Orlando Magic,2014,2015
51,31,.622,—,102.8,98.6,4.41,Portland Trail Blazers,2014,2015
45,37,.549,6.0,104.0,101.8,2.47,Oklahoma City Thunder,2014,2015
38,44,.463,13.0,95.1,94.9,0.71,Utah Jazz,2014,2015
30,52,.366,21.0,101.5,105.0,-3.07,Denver Nuggets,2014,2015
16,66,.195,35.0,97.8,106.5,-8.00,Minnesota Timberwolves,2014,2015
67,15,.817,—,110.0,99.9,10.01,Golden State Warriors,2014,2015
56,26,.683,11.0,106.7,100.1,6.80,Los Angeles Clippers,2014,2015
39,43,.476,28.0,102.4,103.3,-0.38,Phoenix Suns,2014,2015
29,53,.354,38.0,101.3,105.0,-3.07,Sacramento Kings,2014,2015
21,61,.256,46.0,98.5,105.3,-6.17,Los Angeles Lakers,2014,2015
56,26,.683,—,103.9,100.5,3.82,Houston Rockets,2014,2015
55,27,.671,1.0,98.3,95.1,3.62,Memphis Grizzlies,2014,2015
55,27,.671,1.0,103.2,97.0,6.34,San Antonio Spurs,2014,2015
50,32,.610,6.0,105.2,102.3,3.36,Dallas Mavericks,2014,2015
45,37,.549,11.0,99.4,98.6,1.13,New Orleans Pelicans,2014,2015
